,FirstInstanceStartLocation,FirstInstanceEndLocation,SecondInstanceStartLocation,SecondInstanceEndLocation,Length,Distance
tmp.log:328:Motif:,159751,160150,163467,163873,399,5.831812487
tmp.log:329:Motif:,167940,168422,180972,181450,478,6.126205889
tmp.log:330:Motif:,229568,229898,233321,233650,329,2.804824123
tmp.log:331:Motif:,227485,229250,232873,234648,1765,39.29494631
tmp.log:332:Motif:,133078,133818,136082,136813,731,11.69794094
tmp.log:333:Motif:,145393,145736,243957,244301,343,9.881721899
tmp.log:334:Motif:,159308,159767,200211,200665,454,5.491997998
tmp.log:335:Motif:,41544,41987,205393,205875,443,8.281672724
tmp.log:336:Motif:,130189,131244,135115,136188,1055,11.31871155
tmp.log:337:Motif:,54905,55393,232938,233474,488,16.23379861
tmp.log:338:Motif:,67770,68100,89999,90331,330,17.95583234
tmp.log:339:Motif:,170852,171400,201984,202525,541,6.96571625
tmp.log:340:Motif:,175705,176820,192699,193797,1098,20.01146105
tmp.log:341:Motif:,51518,51856,168229,168548,319,7.451776629
tmp.log:342:Motif:,172542,173177,188617,189270,635,16.28549489
tmp.log:343:Motif:,163270,164042,204706,205530,772,19.50546742
tmp.log:344:Motif:,36297,36667,176027,176397,370,5.473951606
tmp.log:345:Motif:,124266,125621,133515,134889,1355,48.89397321
tmp.log:346:Motif:,182844,183184,193019,193359,340,4.234930975
tmp.log:347:Motif:,173409,173769,230877,231240,360,6.975061861
tmp.log:348:Motif:,155911,156636,222051,222769,718,10.08441741
tmp.log:349:Motif:,11108,11428,173893,174217,320,6.411702812
tmp.log:350:Motif:,86144,87669,177292,178791,1499,40.03430134
tmp.log:351:Motif:,212999,214796,233736,235518,1782,36.82848982
tmp.log:352:Motif:,27463,27861,58663,59047,384,10.52940225
tmp.log:353:Motif:,160042,161244,225111,226279,1168,19.416773
tmp.log:354:Motif:,162790,163368,189455,190034,578,7.71136033
tmp.log:355:Motif:,224902,225901,230109,231113,999,14.40422966
tmp.log:356:Motif:,36335,36786,183196,183647,451,3.857289755
tmp.log:357:Motif:,226144,228025,228806,230668,1862,61.0147741
tmp.log:358:Motif:,233986,235395,236439,237804,1365,30.50894179
tmp.log:359:Motif:,191078,191775,192329,193021,692,16.19844356
tmp.log:360:Motif:,80654,81794,127503,128642,1139,18.06425298
tmp.log:361:Motif:,117481,118292,127624,128433,809,9.825260055
tmp.log:362:Motif:,171049,171502,172664,173114,450,5.221772399
tmp.log:363:Motif:,41501,41942,184960,185414,441,7.895140719
tmp.log:364:Motif:,46592,47081,192623,193112,489,5.928823679
tmp.log:365:Motif:,229481,230867,233233,234639,1386,16.3553039
tmp.log:366:Motif:,72113,72958,147691,148524,833,23.6983362
tmp.log:367:Motif:,176298,177456,225096,226243,1147,21.4285787
tmp.log:368:Motif:,159351,159731,200254,200633,379,3.636572978
tmp.log:369:Motif:,159751,161169,228685,230103,1418,24.64801409
tmp.log:370:Motif:,241064,241821,242670,243427,757,17.41023439
tmp.log:371:Motif:,176228,177423,225030,226201,1171,23.73609377
tmp.log:372:Motif:,11029,11430,194572,194972,400,10.61793795
tmp.log:373:Motif:,117248,118007,204999,205739,740,18.41093057
tmp.log:374:Motif:,95732,96341,170254,170856,602,23.55026228
tmp.log:375:Motif:,121031,121427,135513,135909,396,8.420884343
tmp.log:376:Motif:,83341,84261,110269,111160,891,24.84533433
tmp.log:377:Motif:,83264,83642,131225,131578,353,13.00473223
tmp.log:378:Motif:,122916,124024,133839,134974,1108,25.70967034
tmp.log:379:Motif:,222493,223066,235240,235794,554,11.27327299
tmp.log:380:Motif:,149278,149763,151575,152070,485,9.067265864
tmp.log:381:Motif:,172435,172907,222524,223004,472,5.335646205
tmp.log:382:Motif:,137424,137761,147925,148262,337,0.360696798
tmp.log:383:Motif:,161556,161964,174865,175239,374,13.78291887
tmp.log:384:Motif:,151289,151695,233664,234069,405,5.77405645
tmp.log:385:Motif:,42165,42526,207731,208062,331,13.59965017
tmp.log:386:Motif:,175858,176175,181676,181993,317,1.80942089
tmp.log:387:Motif:,171057,171891,181826,182651,825,11.30563316
tmp.log:388:Motif:,83572,84111,110472,111019,539,10.35874821
tmp.log:389:Motif:,27308,27693,42117,42505,385,8.714455178
tmp.log:390:Motif:,173268,174124,235650,236473,823,15.37461597
tmp.log:391:Motif:,149418,150335,160072,160961,889,10.59625766
tmp.log:392:Motif:,43559,44295,228496,229216,720,13.40756433
tmp.log:393:Motif:,204077,204642,210984,211545,561,12.75644658
tmp.log:394:Motif:,24140,24741,46512,47113,601,7.193340403
tmp.log:395:Motif:,73757,74666,174329,175234,905,20.38990925
tmp.log:396:Motif:,120633,121700,135124,136152,1028,22.19692483
tmp.log:397:Motif:,36703,37269,47106,47667,561,9.562025657
tmp.log:398:Motif:,62868,63749,209220,210114,881,22.69267695
tmp.log:399:Motif:,204991,206236,209132,210362,1230,25.60998889
tmp.log:400:Motif:,126407,126776,142750,143096,346,9.822227378
tmp.log:401:Motif:,46402,46965,181259,181827,563,11.40048573
tmp.log:402:Motif:,185313,185653,194034,194346,312,23.7570658
tmp.log:403:Motif:,224776,226331,232412,233965,1553,32.73410579
tmp.log:404:Motif:,41623,42025,71807,72206,399,3.903907627
tmp.log:405:Motif:,83075,83946,185474,186345,871,29.90200122
tmp.log:406:Motif:,172669,173017,202185,202532,347,2.026683683
tmp.log:407:Motif:,160651,161926,181180,182408,1228,49.08708442
tmp.log:408:Motif:,67392,68747,160184,161562,1355,38.40411501
tmp.log:409:Motif:,174865,175659,178390,179201,794,29.52415275
tmp.log:410:Motif:,152261,152645,229556,229942,384,1.956120531
tmp.log:411:Motif:,162555,163364,176437,177237,800,13.86564879
tmp.log:412:Motif:,175784,176648,182602,183467,864,10.84437594
tmp.log:413:Motif:,108610,109120,126577,127083,506,9.524076982
tmp.log:414:Motif:,175557,176113,177528,178081,553,10.99517179
tmp.log:415:Motif:,181939,183342,223940,225362,1403,21.17304416
tmp.log:416:Motif:,47702,48556,210122,210984,854,15.61867352
tmp.log:417:Motif:,220587,221785,227213,228402,1189,37.83378072
tmp.log:418:Motif:,149255,149826,239375,239952,571,10.08787762
tmp.log:419:Motif:,71656,72127,147298,147769,471,5.330701372
tmp.log:420:Motif:,180927,182106,214456,215640,1179,18.65847044
tmp.log:421:Motif:,119013,119339,119524,119854,326,19.96450438
tmp.log:422:Motif:,107820,108288,126392,126852,460,7.81448477
tmp.log:423:Motif:,180272,181494,213807,215017,1210,19.11689301
